qc_id,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,county,school_add,city,state,school_gra,#_of_cases,staff__stu,date_added,new_or_ong,latitude,longitude,icon_url
"24",Brookside Elementary,,,,,,"-1","0","-1",,,Mecosta,210 Escott St,Big Rapids,michigan,Administrative,"3",Staff,11/9/2020,new,43.695742,-85.491214,./0.png
"25",Bridgman Elementary,,,,,,"-1","0","-1",,,Berrien,3891 Lake Street,Brdgman,michigan,Pre-school - elementary,"4",Both,11/9/2020,new,41.943032,-86.546424,./0.png
"26",Jerolene School,,,,,,"-1","0","-1",,,St. Joseph,303 E Jerolene ,Sturgis,michigan,Pre-school - elementary,"4",Staff,11/9/2020,new,41.808526,-85.414964,./0.png
"27",Bullock Creek Elementary,,,,,,"-1","0","-1",,,Midland,1037 S Poseyville Rd,Midland,michigan,Pre-school - elementary,"2",Both,11/9/2020,new,43.582112,-84.247149,./0.png
"28",Barryton Elementary,,,,,,"-1","0","-1",,,Mecosta,19701 30th Ave.,Barryton,michigan,Pre-school - elementary,"3",Both,11/9/2020,new,43.751514,-85.147685,./0.png
"29",Kenowa Hills High School,,,,,,"-1","0","-1",,,Kent,3825 Hendershot Ave NW,Grand Rapids,michigan,High school,"6",Students,11/9/2020,new,43.032853,-85.749839,./0.png
"30",Bloomfield Christian Upper School ,,,,,,"-1","0","-1",,,Oakland,3570 Telegraph Rd. ,Bloomfield Hills,michigan,High school,"2",Both,11/9/2020,new,42.586915,-83.283061,./0.png
"31",Siebert Elementary,,,,,,"-1","0","-1",,,Midland,5700 Siebert,Midland,michigan,Pre-school - elementary,"4",Both,11/9/2020,new,43.649784,-84.239342,./0.png
"32",Shelby High School,,,,,,"-1","0","-1",,,Oceana,641 N State St.,Shelby,michigan,High school,"3",Both,11/9/2020,new,43.598173,-86.370941,./0.png
"33",Blossomland,,,,,,"-1","0","-1",,,Berrien,711 Saint Joseph,Berrien Springs,michigan,High school,"2",Students,11/9/2020,new,41.951684,-86.347696,./0.png
"34",Imlay City High School,,,,,,"-1","0","-1",,,Lapeer,1001 Norlin Dr,Imlay City,michigan,High school,"4",Both,11/9/2020,new,43.065642,-83.060893,./0.png
"35",Baraga Area Schools,,,,,,"-1","0","-1",,,Baraga,210 Lyons Street,Baraga,michigan,Pre-school - elementary,"10",Both,11/9/2020,new,46.777295,-88.493072,./0.png
"36",Harbor Beach Community Schools,,,,,,"-1","0","-1",,,Huron,402 S fifth st,Harbor Beach,michigan,High school,"4",Both,11/9/2020,new,43.840015,-82.657437,./0.png
"37",Harbor Springs High School,,,,,,"-1","0","-1",,,Emmet,500 N Spring St,Harbor Springs,michigan,High school,"3",Students,11/9/2020,new,45.432752,-84.988165,./0.png
"38",Fraser High School,,,,,,"-1","0","-1",,,Macomb,34270 Garfield Rd,Fraser,michigan,High school,"2",Staff,11/9/2020,new,42.551722,-82.947229,./0.png
"39",Henry Ford II High School,,,,,,"-1","0","-1",,,Macomb,11911 Clinton River Rd,Sterling Heights,michigan,High school,"2",Both,11/9/2020,new,42.605453,-83.012449,./0.png
"40",Gabriel Richard Catholic High School,,,,,,"-1","0","-1",,,Wayne,15325 Pennsylvania Rd,Riverview,michigan,High school,"2",Students,11/9/2020,new,42.183167,-83.209425,./0.png
"41",Parkview,,,,,,"-1","0","-1",,,Eaton,301 E Kalamo Hwy,Charlotte,michigan,Junior high/middle school,"2",Both,11/9/2020,new,42.538729,-84.831024,./0.png
"42",Owosso High School,,,,,,"-1","0","-1",,,Shiawassee,765 E. North St.,Owosso,michigan,High school,"10",Students,11/9/2020,new,43.012362,-84.160479,./0.png
"43",Grand Haven High School,,,,,,"-1","0","-1",,,Ottawa,17001 Ferris St,Grand Haven,michigan,High school,"3",Students,11/9/2020,new,43.011827,-86.211124,./0.png
